text,category
I want to correct my account information,ACCOUNT
I need assistance because the delivery date has passed.,DELIVERY
Please help with my debit card payment,PAYMENT
Please help me: the app keeps crashing,TECHNICAL
Can I update my account details?,ACCOUNT
Please help me: where is my parcel?,DELIVERY
I need to change my old password,PASSWORD
I need assistance because I need help with an order.,ORDER
Please help me: how can I locate my parcel?,DELIVERY
I need to recover my new password,PASSWORD
Please help me: please provide information about the service,GENERAL
How do I update my old password?,PASSWORD
I am having trouble with my debit card payment,PAYMENT
Can I process my refunded payment?,REFUND
My login is not working,LOGIN
Please check my refunded payment,REFUND
I need to change my account information,ACCOUNT
Please help me: my transaction failed,PAYMENT
When will my shipping arrive?,DELIVERY
How do I request a refund request?,REFUND
I need to receive a returned payment,REFUND
Please get my money back,REFUND
How much does the membership cost?,SUBSCRIPTION
The website keeps crashing,TECHNICAL
Can someone help me with the customer service?,GENERAL
How can I check my package?,DELIVERY
Can I change my account details?,ACCOUNT
Please help me: can someone help me with the support?,GENERAL
I want to find my package,DELIVERY
Can I check my refund?,REFUND
Please provide information about the support,GENERAL
The login page is rejecting my attempt,LOGIN
How can I modify my profile?,ACCOUNT
There is a problem with my card payment,PAYMENT
I want to find my delivery,DELIVERY
Please help me: why was my payment declined?,PAYMENT
Please help me: i want to know about the service,GENERAL
Please get my returned payment,REFUND
How do I recover my login password?,PASSWORD
I want to learn about the service,GENERAL
When will my parcel arrive?,DELIVERY
I am having trouble with my credit card payment,PAYMENT
I cannot process a debit card payment,PAYMENT
Please help with my login,LOGIN
I want to upgrade my monthly plan,SUBSCRIPTION
Please help me: i cannot access my account through the login,LOGIN
I cannot retry a checkout payment,PAYMENT
Please help me: the sign-in page is rejecting my attempt,LOGIN
Can I cancel my service plan?,SUBSCRIPTION
Can I correct my profile?,ACCOUNT
How do I replace my new password?,PASSWORD
My shipping is late,DELIVERY
I need to update my personal information,ACCOUNT
Please help me: how can I find my package?,DELIVERY
I want to understand the platform,GENERAL
How do I reset my login password?,PASSWORD
I need to check a returned payment,REFUND
I need to change my profile,ACCOUNT
I want a refunded payment,REFUND
The sign in is rejecting my attempt,LOGIN
I need to process a refunded payment,REFUND
I need support with this: my login page is not working,LOGIN
Please help me: please help with my login page,LOGIN
I want to update my ordered item,ORDER
I need help because I need some information.,GENERAL
Please help me: my sign-in is not working,LOGIN
There is a problem with my credit card payment,PAYMENT
I want to upgrade my membership,SUBSCRIPTION
I need to replace my password,PASSWORD
How can I update my account information?,ACCOUNT
Can you help me update my current password?,PASSWORD
I need help because I forgot it.,PASSWORD
Please help me: the payment keeps failing,PAYMENT
I need help because I need a new one.,PASSWORD
I need to replace my new password,PASSWORD
Please help with this application problem,TECHNICAL
Can I change my service plan?,SUBSCRIPTION
Please help me: i cannot access my account,LOGIN
My package has not arrived,DELIVERY
How do I receive a refund request?,REFUND
The system will not respond,TECHNICAL
How does this platform work?,GENERAL
Please help me: when will my shipping arrive?,DELIVERY
Can I update my order details?,ORDER
I need to modify my account details,ACCOUNT
I need assistance because my refund has not arrived.,REFUND
I want to change my email address,ACCOUNT
Can you help me recover my old password?,PASSWORD
My card payment failed,PAYMENT
Please help me: i need assistance because my parcel has not arrived.,DELIVERY
I want to find my shipment,DELIVERY
I need help changing my monthly plan,SUBSCRIPTION
Can I cancel my order?,ORDER
How can I update my ordered item?,ORDER
Please help me: there is a problem with my payment,PAYMENT
Can I cancel my subscription?,SUBSCRIPTION
Can I cancel my purchase?,ORDER
I need support with this: i have a question about the support,GENERAL
I am having trouble with sign in,LOGIN
I need support with this: the sign-in page keeps failing,LOGIN
How do I downgrade my membership?,SUBSCRIPTION
How do I replace my current password?,PASSWORD
How do I reset my password?,PASSWORD
I have a problem with my subscription,SUBSCRIPTION
I need to correct my email address,ACCOUNT
The web page stopped working,TECHNICAL
I want to learn about the account service,GENERAL
Please help me with my shipping,DELIVERY
I want to find my parcel,DELIVERY
I need assistance because the website shows an error.,TECHNICAL
Can you help me reset my password?,PASSWORD
Please help me: when will my package arrive?,DELIVERY
Please help me: i want to locate my package,DELIVERY
I want a returned payment,REFUND
The login page keeps failing,LOGIN
The application stopped working,TECHNICAL
How do I check a refund?,REFUND
I need support with this: i want to understand the support,GENERAL
My transaction failed,PAYMENT
I forgot my password,PASSWORD
Can I change my membership?,SUBSCRIPTION
I was charged and need a refund request,REFUND
I have a question about the account service,GENERAL
The app will not start,TECHNICAL
Can I get my money back?,REFUND
I cannot log in,LOGIN
I cannot retry a transaction,PAYMENT
I need help changing my membership,SUBSCRIPTION
Please help me: i am having a technical problem with the app,TECHNICAL
I have a problem with my order request,ORDER
I cannot remember my old password,PASSWORD
I received the wrong item in my order,ORDER
Please help with this system problem,TECHNICAL
Can I track my ordered item?,ORDER
Why can't I log in?,LOGIN
I cannot make a credit card payment,PAYMENT
How can I modify my order details?,ORDER
Can I update my personal information?,ACCOUNT
Please help me: i cannot make a checkout payment,PAYMENT
Please help me: the application will not open,TECHNICAL
How can I modify my ordered item?,ORDER
I want a refund request,REFUND
Can I process my refund request?,REFUND
I want a money back,REFUND
There is an error in the app,TECHNICAL
I want to use the customer service,GENERAL
I want to cancel my service plan,SUBSCRIPTION
The app will not respond,TECHNICAL
How do I check a money back?,REFUND
The debit card payment keeps failing,PAYMENT
I want to use the platform,GENERAL
I want to cancel my order request,ORDER
I am having a technical problem with the system,TECHNICAL
I cannot complete a card payment,PAYMENT
Can I request my refund?,REFUND
I forgot my account password,PASSWORD
I need to request a refunded payment,REFUND
I want to downgrade my plan,SUBSCRIPTION
My shipping has not arrived,DELIVERY
The website will not work,TECHNICAL
How can I find my parcel?,DELIVERY
The application will not open,TECHNICAL
How do I change my new password?,PASSWORD
Can you help me update my account password?,PASSWORD
Please help with this software problem,TECHNICAL
I need support with this: i cannot access my account through the login page,LOGIN
How do I reset my account password?,PASSWORD
Please help with this app problem,TECHNICAL
I need help with my account information,ACCOUNT
I want to cancel my membership,SUBSCRIPTION
Where is my delivery?,DELIVERY
I want to change my account details,ACCOUNT
Please help me: i need assistance because the transaction was rejected.,PAYMENT
Can you help me change my new password?,PASSWORD
I want to correct my account details,ACCOUNT
How does this customer service work?,GENERAL
Please help me: i need help because I want to understand the service.,GENERAL
My shipment is late,DELIVERY
Please help me: i have a question about the platform,GENERAL
How can I change my order request?,ORDER
Please help with my account access,LOGIN
How do I reset my old password?,PASSWORD
How do I restore my new password?,PASSWORD
I need to process a returned payment,REFUND
Can I modify my profile?,ACCOUNT
I need help with a refund request,REFUND
I need to recover my login password,PASSWORD
Please help me: i keep getting blocked when I try to log in,LOGIN
Please help me: the app will not work,TECHNICAL
How do I cancel my monthly plan?,SUBSCRIPTION
The software will not respond,TECHNICAL
I need to request a refund request,REFUND
I need to edit my profile,ACCOUNT
How can I change my ordered item?,ORDER
How can I edit my personal information?,ACCOUNT
I cannot submit a credit card payment,PAYMENT
I was charged and need a returned payment,REFUND
My payment was declined,PAYMENT
How much does the subscription cost?,SUBSCRIPTION
How do I update my account password?,PASSWORD
The system will not start,TECHNICAL
How do I update my current password?,PASSWORD
Please help me: how does this account service work?,GENERAL
Can you help me replace my account password?,PASSWORD
I cannot process a payment,PAYMENT
I have a problem with my order details,ORDER
Please help me with my plan,SUBSCRIPTION
I need to change my personal information,ACCOUNT
I want to modify my purchase,ORDER
The system will not load,TECHNICAL
Please help me: the login is rejecting my attempt,LOGIN
How can I cancel my ordered item?,ORDER
I cannot retry a card payment,PAYMENT
I am having trouble with my checkout payment,PAYMENT
Can I cancel my plan?,SUBSCRIPTION
I need to update my phone number,ACCOUNT
My subscription was renewed,SUBSCRIPTION
How do I downgrade my subscription?,SUBSCRIPTION
Please help me: i need help changing my monthly plan,SUBSCRIPTION
Please help me with my delivery,DELIVERY
I need to get a refund request,REFUND
Can I cancel my order request?,ORDER
I need help with my profile,ACCOUNT
Can you help me change my login password?,PASSWORD
Can you help me recover my account password?,PASSWORD
How can I change my purchase?,ORDER
Please help me: i need assistance because the application keeps crashing.,TECHNICAL
The system will not work,TECHNICAL
Can I edit my profile?,ACCOUNT
I need assistance because I want a different plan.,SUBSCRIPTION
My refunded payment has not arrived,REFUND
There is an error in the website,TECHNICAL
The sign-in page keeps failing,LOGIN
My plan was renewed,SUBSCRIPTION
I was charged and need a refund,REFUND
Please help me: please help with this software problem,TECHNICAL
How can I track my parcel?,DELIVERY
Please help me with my service plan,SUBSCRIPTION
I want to cancel my order details,ORDER
How can I correct my account details?,ACCOUNT
How can I find my shipment?,DELIVERY
How can I correct my phone number?,ACCOUNT
Can I upgrade my subscription?,SUBSCRIPTION
I need help with an purchase,ORDER
I cannot submit a transaction,PAYMENT
Can I downgrade my membership?,SUBSCRIPTION
I want to locate my package,DELIVERY
How can I modify my email address?,ACCOUNT
I want to locate my parcel,DELIVERY
Can you help me restore my current password?,PASSWORD
Why was my credit card payment declined?,PAYMENT
How can I update my personal information?,ACCOUNT
I need assistance,GENERAL
How do I process a refund?,REFUND
I need to replace my login password,PASSWORD
I want to change my purchase,ORDER
How do I reset my current password?,PASSWORD
I need support with this: i want to know about the customer service,GENERAL
The sign-in keeps failing,LOGIN
I cannot access my account,LOGIN
How can I track my shipment?,DELIVERY
I need help with my phone number,ACCOUNT
I cannot remember my account password,PASSWORD
I want to change my order details,ORDER
I cannot submit a checkout payment,PAYMENT
I need to correct my account information,ACCOUNT
The software is not working,TECHNICAL
There is a problem with my checkout payment,PAYMENT
How can I track my shipping?,DELIVERY
Why was my transaction declined?,PAYMENT
How can I locate my delivery?,DELIVERY
